"valår","region","Moderaterna","Centerpartiet","Folkpartiet","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"2002","Hässleholm",15.1,8.8,10.5,13.0,4.1,38.5,5.6,3.5,0.9
"2002","Hylte",11.5,17.3,9.0,8.7,2.9,42.3,4.6,1.1,2.7
"2002","Halmstad",16.4,5.8,13.9,8.5,4.2,40.9,6.9,0.7,2.9
"2002","Laholm",16.6,16.4,10.2,11.5,3.6,33.0,4.8,1.2,2.7
"2002","Falkenberg",14.3,15.0,11.3,9.0,3.8,36.8,5.5,1.2,3.0
"2002","Varberg",13.8,11.4,11.0,9.9,4.0,39.0,7.0,1.3,2.5
"2002","Kungsbacka",24.5,5.9,19.8,12.1,3.8,26.2,4.7,1.2,1.9
"2002","Härryda",17.2,3.9,18.9,9.6,5.1,34.2,7.7,1.5,1.7
"2002","Partille",16.4,1.9,19.3,11.3,4.5,34.6,9.0,1.4,1.6
"2002","Öckerö",18.8,1.8,13.4,27.3,3.7,27.7,6.2,0.7,0.4
"2002","Stenungsund",16.0,5.1,16.5,11.3,4.2,37.3,6.8,1.3,1.6
"2002","Tjörn",16.1,3.8,17.6,22.0,3.7,28.7,5.4,1.9,0.8
"2002","Orust",14.6,9.3,14.6,11.3,4.6,35.6,8.1,1.3,0.5
"2002","Sotenäs",19.1,4.6,15.0,10.7,3.4,39.2,5.9,1.0,1.2
"2002","Munkedal",10.7,14.1,9.0,12.1,3.3,40.4,7.0,2.2,1.3
"2002","Tanum",14.5,18.6,14.2,10.5,5.0,29.3,5.9,0.6,1.5
"2002","Dals-Ed",10.8,17.9,6.4,17.2,3.7,37.9,4.3,0.3,1.6
"2002","Färgelanda",9.2,19.5,10.8,10.0,2.0,39.8,6.1,1.6,0.9
"2002","Ale",11.1,5.4,12.1,10.2,4.1,43.9,10.3,2.1,0.9
"2002","Lerum",17.3,3.4,18.1,12.1,5.0,32.9,8.5,1.7,0.9
"2002","Vårgårda",10.6,12.3,10.0,23.4,4.2,31.3,6.3,0.6,1.3
"2002","Bollebygd",16.6,7.8,10.9,13.9,4.5,37.3,7.0,1.5,0.5
"2002","Grästorp",18.3,17.0,9.4,12.3,2.9,33.2,5.2,1.2,0.4
"2002","Essunga",17.8,18.7,8.7,12.3,2.7,33.0,5.7,0.3,0.9
"2002","Karlsborg",13.6,10.2,9.5,12.4,3.2,43.5,6.2,0.5,0.9
"2002","Gullspång",11.6,10.7,6.8,10.9,3.9,42.9,8.1,2.7,2.3
"2002","Tranemo",12.3,15.4,8.9,11.8,3.3,42.1,5.0,0.9,0.3
"2002","Bengtsfors",8.9,14.1,9.0,10.5,3.0,46.2,6.9,0.2,1.1
"2002","Mellerud",12.7,15.3,9.6,13.4,3.1,35.7,6.3,1.9,2.0
"2002","Lilla Edet",10.2,8.5,9.7,8.0,4.7,45.6,9.8,2.7,0.8
"2002","Mark",11.1,10.5,9.5,12.1,4.1,42.8,8.1,1.0,0.9
"2002","Svenljunga",13.7,15.2,10.4,12.7,3.3,38.2,4.8,0.9,0.8
"2002","Herrljunga",12.1,16.0,9.8,17.1,3.5,32.7,6.6,1.2,1.0
"2002","Vara",19.6,16.2,8.9,12.5,2.7,33.3,5.6,1.0,0.3
"2002","Götene",11.6,10.9,9.1,14.0,3.9,40.5,8.0,1.0,1.0
"2002","Tibro",11.9,8.1,10.7,14.3,3.5,42.5,7.2,0.8,1.0
"2002","Töreboda",13.7,14.6,7.3,10.9,3.7,39.3,7.4,2.3,0.9
"2002","Göteborg",17.4,1.9,18.0,8.6,6.5,33.2,11.9,1.6,1.0
"2002","Mölndal",15.9,3.0,19.0,9.7,4.3,35.1,8.9,2.0,2.1
"2002","Kungälv",15.1,6.0,14.9,12.1,4.0,38.4,7.5,1.2,0.7
"2002","Lysekil",11.4,3.7,15.4,7.0,4.4,48.9,7.6,1.2,0.4
"2002","Uddevalla",11.8,5.3,12.5,10.7,4.1,43.3,9.1,2.4,0.7
"2002","Strömstad",13.9,13.8,12.8,7.6,5.3,38.5,6.8,0.6,0.7
"2002","Vänersborg",11.2,7.5,11.3,10.3,4.3,44.0,9.6,0.9,0.9
"2002","Trollhättan",11.5,4.5,11.3,7.7,3.9,49.9,8.8,2.1,0.3
"2002","Alingsås",13.1,5.5,15.3,15.8,5.6,34.4,9.2,0.5,0.6
"2002","Borås",15.2,4.3,11.6,11.7,3.8,42.2,8.2,1.5,1.6
"2002","Ulricehamn",12.6,13.3,11.3,15.4,4.0,35.1,6.3,0.5,1.6
"2002","Åmål",9.7,11.4,9.4,10.1,4.0,46.7,6.9,0.7,1.0
"2002","Mariestad",13.1,6.2,10.1,11.3,4.4,43.6,8.8,1.7,0.7
"2002","Lidköping",12.0,8.0,10.1,11.3,3.7,43.4,9.4,0.7,1.4
"2002","Skara",14.8,9.0,10.3,10.5,4.0,42.2,7.8,0.8,0.5
"2002","Skövde",14.6,7.5,12.2,11.7,3.9,40.9,7.1,1.0,1.0
"2002","Hjo",15.0,8.4,11.3,15.1,3.7,37.7,6.9,0.9,0.9
"2002","Tidaholm",10.0,8.3,8.4,11.4,3.2,49.2,8.4,0.8,0.4
"2002","Falköping",14.3,12.0,8.5,14.8,4.0,37.4,6.9,1.5,0.6
"2002","Kil",13.6,10.0,11.4,9.8,3.8,41.8,7.1,1.6,0.9
"2002","Eda",8.8,13.3,8.2,8.1,2.6,49.8,7.0,0.9,1.0
"2002","Torsby",15.7,12.7,5.9,5.4,2.9,43.6,11.6,1.2,1.0
"2002","Storfors",9.3,7.3,7.7,7.3,3.1,52.6,10.4,1.2,1.2
"2002","Hammarö",14.2,4.0,13.3,7.6,3.6,46.5,8.2,1.3,1.3
"2002","Munkfors",6.1,8.6,7.0,4.1,3.0,59.3,9.6,1.8,0.5
"2002","Forshaga",9.2,7.5,8.7,7.2,3.9,51.9,8.1,2.2,1.3
"2002","Grums",8.8,9.6,5.8,7.5,2.1,54.7,8.8,0.9,1.8
"2002","Årjäng",9.8,14.3,27.0,10.7,2.1,29.3,5.5,0.7,0.6
"2002","Sunne",14.6,20.3,9.4,8.9,3.8,35.1,5.9,1.6,0.5
"2002","Karlstad",15.2,5.7,14.2,8.7,4.9,40.0,8.0,1.4,2.0
"2002","Kristinehamn",12.0,8.6,12.3,8.3,4.3,42.1,9.5,1.4,1.5
"2002","Filipstad",8.2,5.6,7.3,5.8,3.3,53.8,12.3,1.4,2.2
