år,region,inkomst,arbetslösa,befolkning,arbetslöshet
2002,0560 Boxholm,129.4,93,5291,1.757701758
2002,0561 Åtvidaberg,134.2,192,11887,1.615209893
2002,0562 Finspång,143.5,325,21208,1.532440588
2002,0563 Valdemarsvik,125.7,114,8230,1.385176185
2002,0580 Linköping,152,2653,135066,1.964224897
2002,0581 Norrköping,139.6,3625,123303,2.939912249
2002,0582 Söderköping,135.1,229,14009,1.634663431
2002,0583 Motala,138,823,42078,1.95589144
2002,0584 Vadstena,141.6,85,7629,1.114169616
2002,0586 Mjölby,135.1,436,25153,1.733391643
2002,0604 Aneby,122,70,6631,1.055647715
2002,0617 Gnosjö,145.9,95,9997,0.9502850855
2002,0642 Mullsjö,132.2,136,7124,1.909039865
2002,0643 Habo,139.6,127,9584,1.325125209
2002,0662 Gislaved,143.3,366,29976,1.220976781
2002,0665 Vaggeryd,136.9,261,12603,2.070935492
2002,0680 Jönköping,145.2,2321,118581,1.95731188
2002,0682 Nässjö,134.6,307,29341,1.04631744
2002,0683 Värnamo,145.5,508,32252,1.575096118
2002,0684 Sävsjö,123.4,205,10975,1.867881549
2002,0685 Vetlanda,132.7,430,26428,1.627062207
2002,0686 Eksjö,137.4,191,16761,1.139550146
2002,0687 Tranås,133.5,338,17718,1.907664522
2002,0760 Uppvidinge,129.5,125,9580,1.30480167
2002,0761 Lessebo,134.1,146,8255,1.768625076
2002,0763 Tingsryd,126.1,260,13175,1.973434535
2002,0764 Alvesta,131.8,261,18930,1.378763867
2002,0765 Älmhult,140.8,235,15444,1.521626522
2002,0767 Markaryd,130.8,181,9615,1.882475299
2002,0780 Växjö,147,1722,75036,2.294898449
2002,0781 Ljungby,138.4,328,26943,1.217384849
2002,0821 Högsby,118.3,153,6300,2.428571429
2002,0834 Torsås,121.5,142,7293,1.947072535
2002,0840 Mörbylånga,130.4,208,13430,1.548771407
2002,0860 Hultsfred,124.8,235,14893,1.577922514
2002,0861 Mönsterås,135,230,13220,1.7397882
2002,0862 Emmaboda,138.8,85,9690,0.8771929825
2002,0880 Kalmar,143.2,1444,60066,2.404022242
2002,0881 Nybro,132.5,271,19871,1.363796487
2002,0882 Oskarshamn,148.8,388,26161,1.483123734
2002,0883 Västervik,134.9,989,36913,2.679272885
2002,0884 Vimmerby,129.7,237,15628,1.51650883
2002,0885 Borgholm,114.4,233,11162,2.087439527
2002,0980 Gotland,124,1469,57381,2.560080863
2002,1060 Olofström,142,317,13637,2.324558187
2002,1080 Karlskrona,143.9,1633,60676,2.691344189
2002,1081 Ronneby,136.6,826,28472,2.901095813
2002,1082 Karlshamn,144.4,745,30739,2.423631218
2002,1083 Sölvesborg,136.7,383,16351,2.342364381
2002,1214 Svalöv,126.6,250,12705,1.96772924
2002,1230 Staffanstorp,157.2,273,20110,1.357533565
2002,1231 Burlöv,137.9,387,15326,2.52512071
2002,1233 Vellinge,175.2,415,31087,1.334963168
2002,1256 Östra Göinge,130,264,14087,1.87406829
2002,1257 Örkelljunga,124.8,140,9419,1.486357363
2002,1260 Bjuv,130.8,311,13674,2.274389352
