år,region,inkomst
2006,1883 Karlskoga,170
2006,1884 Nora,158.1
2006,1885 Lindesberg,155.2
2006,1904 Skinnskatteberg,150.4
2006,1907 Surahammar,161.6
2006,1960 Kungsör,161
2006,1961 Hallstahammar,157.7
2006,1962 Norberg,155.8
2006,1980 Västerås,171.5
2006,1981 Sala,149.2
2006,1982 Fagersta,170.5
2006,1983 Köping,160.6
2006,1984 Arboga,157.4
2006,2021 Vansbro,142.1
2006,2023 Malung-Sälen,148.4
2006,2026 Gagnef,150.6
2006,2029 Leksand,156.6
2006,2031 Rättvik,148.3
2006,2034 Orsa,141.3
2006,2039 Älvdalen,143.3
2006,2061 Smedjebacken,166.2
2006,2062 Mora,158.7
2006,2080 Falun,167.1
2006,2081 Borlänge,160.6
2006,2082 Säter,154
2006,2083 Hedemora,151.1
2006,2084 Avesta,165.8
2006,2085 Ludvika,162.9
2006,2101 Ockelbo,153.9
2006,2104 Hofors,165.4
2006,2121 Ovanåker,149.4
2006,2132 Nordanstig,145.5
2006,2161 Ljusdal,146.6
2006,2180 Gävle,168.8
2006,2181 Sandviken,172.9
2006,2182 Söderhamn,153
2006,2183 Bollnäs,152.2
2006,2184 Hudiksvall,155.9
2006,2260 Ånge,147.5
2006,2262 Timrå,162.7
2006,2280 Härnösand,159.2
2006,2281 Sundsvall,174.9
2006,2282 Kramfors,152.7
2006,2283 Sollefteå,152.2
2006,2284 Örnsköldsvik,166.3
2006,2303 Ragunda,147.4
2006,2305 Bräcke,141.4
2006,2309 Krokom,147.1
2006,2313 Strömsund,143.6
2006,2321 Åre,143.1
2006,2326 Berg,137.5
2006,2361 Härjedalen,144.7
2006,2380 Östersund,164.9
2006,2401 Nordmaling,149.9
2006,2403 Bjurholm,138
2006,2404 Vindeln,147.1
2006,2409 Robertsfors,147.4
2006,2417 Norsjö,153.2
2006,2418 Malå,162.1
2006,2421 Storuman,147.6
2006,2422 Sorsele,142.2
2006,2425 Dorotea,146.6
2006,2460 Vännäs,150.4
2006,2462 Vilhelmina,141.4
2006,2463 Åsele,142
2006,2480 Umeå,164.2
2006,2481 Lycksele,155.5
2006,2482 Skellefteå,160.8
2006,2505 Arvidsjaur,159.6
2006,2506 Arjeplog,150.5
2006,2510 Jokkmokk,153.5
2006,2513 Överkalix,149
2006,2514 Kalix,158.4
2006,2518 Övertorneå,140.3
2006,2521 Pajala,144.3
2006,2523 Gällivare,173.8
2006,2560 Älvsbyn,151.7
2006,2580 Luleå,169.1
2006,2581 Piteå,165.1
2006,2582 Boden,160.4
2006,2583 Haparanda,137.5
2006,2584 Kiruna,176.3
2010,0114 Upplands Väsby,198.3
2010,0115 Vallentuna,204.2
2010,0117 Österåker,208.8
2010,0120 Värmdö,205.4
2010,0123 Järfälla,203.5
2010,0125 Ekerö,220.4
2010,0126 Huddinge,187.2
2010,0127 Botkyrka,158.8
2010,0128 Salem,203
2010,0136 Haninge,181.4
2010,0138 Tyresö,207.4
2010,0139 Upplands-Bro,188.1
2010,0140 Nykvarn,206.2
2010,0160 Täby,258.2
2010,0162 Danderyd,313.9
2010,0163 Sollentuna,231.2
2010,0180 Stockholm,218.5
2010,0181 Södertälje,168.1
2010,0182 Nacka,233.2
2010,0183 Sundbyberg,201.1
2010,0184 Solna,222.2
2010,0186 Lidingö,270.9
2010,0187 Vaxholm,223.3
2010,0188 Norrtälje,179.9
2010,0191 Sigtuna,187
2010,0192 Nynäshamn,183.2
2010,0305 Håbo,198.9
2010,0319 Älvkarleby,178.8
2010,0330 Knivsta,204.4
2010,0331 Heby,160.3
2010,0360 Tierp,163.9
2010,0380 Uppsala,187.8
2010,0381 Enköping,180.8
2010,0382 Östhammar,181.4
2010,0428 Vingåker,164.6
2010,0461 Gnesta,178.8
2010,0480 Nyköping,187.9
2010,0481 Oxelösund,195.8
2010,0482 Flen,163.8
2010,0483 Katrineholm,168.4
2010,0484 Eskilstuna,169.7
2010,0486 Strängnäs,193.7
2010,0488 Trosa,204.8
2010,0509 Ödeshög,158
2010,0512 Ydre,163.8
2010,0513 Kinda,164.5
2010,0560 Boxholm,169.5
2010,0561 Åtvidaberg,169.7
2010,0562 Finspång,185.7
2010,0563 Valdemarsvik,163.3
2010,0580 Linköping,183.6
2010,0581 Norrköping,174.3
2010,0582 Söderköping,178.3
2010,0583 Motala,171.2
2010,0584 Vadstena,180.9
2010,0586 Mjölby,172
2010,0604 Aneby,166.8
2010,0617 Gnosjö,177.4
